Gemeenten,Jaar,totaal_co2,totaal_co2_ext_weg,co2_woningen,Woningdichtheid
Vijfheerenlanden,2019,573700.0,371000.0,78754.0,160.0
Vlaardingen,2019,263300.0,239500.0,97196.0,1492.0
Vlieland,2019,10200.0,10200.0,1948.0,14.0
Vlissingen,2019,560100.0,549700.0,62820.0,666.0
Voerendaal,2019,57200.0,43500.0,23263.0,183.0
Voorschoten,2019,70900.0,70900.0,37768.0,1027.0
Voorst,2019,176800.0,125700.0,42028.0,86.0
Vught,2019,170900.0,137300.0,52067.0,340.0
Waadhoeke,2019,364800.0,333500.0,74926.0,74.0
Waalre,2019,83900.0,64100.0,31549.0,340.0
Waalwijk,2019,346600.0,278500.0,74672.0,337.0
Waddinxveen,2019,269600.0,208100.0,37110.0,431.0
Wageningen,2019,151300.0,151300.0,51451.0,575.0
Wassenaar,2019,153100.0,147300.0,55732.0,239.0
Waterland,2019,87300.0,87300.0,26615.0,140.0
Weert,2019,341600.0,271300.0,81001.0,218.0
Weesp,2019,101600.0,101600.0,26381.0,395.0
West Betuwe,2019,702000.0,465500.0,81445.0,96.0
West Maas en Waal,2019,119400.0,116800.0,32623.0,106.0
Westerkwartier,2019,452000.0,369700.0,107833.0,75.0
Westerveld,2019,121700.0,106900.0,35401.0,31.0
Westervoort,2019,,,20836.0,952.0
Westerwolde,2019,,,51133.0,43.0
Westland,2019,2469800.0,2459900.0,143604.0,547.0
Weststellingwerf,2019,160700.0,130700.0,44181.0,53.0
Westvoorne,2019,166500.0,166500.0,27119.0,128.0
Wierden,2019,156700.0,122900.0,37954.0,103.0
Wijchen,2019,240700.0,196700.0,62094.0,270.0
Wijdemeren,2019,100100.0,100100.0,42710.0,225.0
Wijk bij Duurstede,2019,85200.0,85200.0,34553.0,209.0
Winterswijk,2019,146600.0,146600.0,48019.0,95.0
Woensdrecht,2019,177100.0,129600.0,36877.0,107.0
Woerden,2019,427800.0,271400.0,72707.0,248.0
Wormerland,2019,135300.0,97300.0,23167.0,180.0
Woudenberg,2019,74600.0,59900.0,18722.0,140.0
Zaanstad,2019,805300.0,767200.0,207588.0,926.0
Zaltbommel,2019,642700.0,595400.0,42464.0,144.0
Zandvoort,2019,62300.0,62300.0,32713.0,298.0
Zeewolde,2019,203900.0,173300.0,26553.0,35.0
Zeist,2019,309900.0,257500.0,102241.0,593.0
Zevenaar,2019,321200.0,275200.0,67640.0,214.0
Zoetermeer,2019,499900.0,446300.0,158314.0,1631.0
Zoeterwoude,2019,,,11548.0,165.0
Zuidplas,2019,466400.0,379300.0,58950.0,303.0
Zundert,2019,120300.0,120300.0,39228.0,78.0
Zutphen,2019,218800.0,218800.0,68081.0,540.0
Zwartewaterland,2019,175200.0,175200.0,32339.0,108.0
Zwijndrecht,2019,274400.0,248100.0,62223.0,1008.0
Zwolle,2019,673500.0,580800.0,168327.0,520.0
