Gemeenten,Jaar,totaal_co2,totaal_co2_ext_weg,co2_woningen,co2_gasgebruik,co2_elek,co2_gebouwde_omg
Noordenveld,2018,308900,308900,61164,62697,201247,92351
Noordoostpolder,2018,,,72620,,137193,138072
Noordwijk,2018,225700,223500,69457,87502,87380,143926
Nuenen c.a.,2018,110000,102600,43435,39585,34785,60372
Nunspeet,2018,212700,159400,43179,70462,60040,84448
Oegstgeest,2018,88600,72200,37961,30494,25022,54413
Oirschot,2018,196000,120400,34050,,40010,
Oisterwijk,2018,179700,139200,57996,57213,53333,92730
Oldambt,2018,511000,475200,76157,139722,288346,117932
Oldebroek,2018,153500,101000,37351,43012,34128,56089
Oldenzaal,2018,146600,135300,54501,68217,35335,84972
Olst-Wijhe,2018,111000,111000,30736,35208,39707,55773
Ommen,2018,281500,267900,31083,40744,175831,60764
Oost Gelre,2018,187700,187700,50074,62073,77362,87098
Oosterhout,2018,445500,364300,86743,140394,160441,181668
Ooststellingwerf,2018,153700,151300,45817,54448,52408,69538
Oostzaan,2018,60300,36900,15324,15191,15200,23522
Opmeer,2018,56300,56300,18000,21165,19941,28530
Opsterland,2018,196500,149500,52156,,44963,
Oss,2018,609400,566900,153468,211255,251688,242262
Oude IJsselstreek,2018,222800,216500,67890,72728,80803,101502
Ouder-Amstel,2018,,,21236,27666,49876,71768
Oudewater,2018,43400,43400,16565,15593,14782,25042
Overbetuwe,2018,396200,257300,76033,93464,90076,
Papendrecht,2018,,,45030,40164,48870,69826
Peel en Maas,2018,564700,506400,77763,322969,112656,119883
Pekela,2018,90500,86400,24732,41164,27587,29207
Pijnacker-Nootdorp,2018,441300,441100,68501,259425,139369,107503
Purmerend,2018,213600,203000,99862,35368,88429,151033
Putten,2018,168200,127100,39936,44804,49985,64949
Raalte,2018,216500,216500,62075,73454,74647,99206
Reimerswaal,2018,,,31913,,123399,66143
Renkum,2018,,,59299,,215601,
Renswoude,2018,36900,27600,8317,8657,9590,12920
Reusel-De Mierden,2018,65600,65600,23805,23392,24430,33258
Rheden,2018,195700,178500,79068,80215,56431,120687
Rhenen,2018,98900,98900,32054,38342,26116,48129
Ridderkerk,2018,298500,209800,66843,83086,83506,126412
Rijssen-Holten,2018,257100,184500,60544,68987,69623,100359
Rijswijk,2018,256800,225900,82347,91096,94950,164789
Roerdalen,2018,120500,100900,40283,46513,29732,56609
Roermond,2018,704000,656800,95610,344200,246334,196231
Roosendaal,2018,,,127124,,165485,233667
Rotterdam,2018,12707600,12323600,831692,7609802,3117741,2260902
Rozendaal,2018,7800,7700,3846,,2014,
Rucphen,2018,135300,104200,44202,42986,37704,60086
Schagen,2018,294900,294900,74522,97996,112947,136998
Scherpenzeel,2018,55600,55600,15493,18718,28439,22094
Schiedam,2018,322900,257200,106031,103421,107397,178878
Schiermonnikoog,2018,11100,11100,2346,,2985,
Schouwen-Duiveland,2018,275500,270500,61815,106719,66077,113400
's-Hertogenbosch,2018,906400,736800,240527,260928,313946,478328
Simpelveld,2018,39100,39100,20761,17857,10515,26901
Sint Anthonis,2018,76500,76500,21747,23423,28121,31562
Sint-Michielsgestel,2018,119200,118900,53082,45454,33753,71785
Sittard-Geleen,2018,,,168415,,,283624
Sliedrecht,2018,134700,103300,34091,40311,40860,59087
Sluis,2018,170000,162100,48249,55860,51412,94422
Smallingerland,2018,330600,265100,90383,105255,104985,148433
Soest,2018,211900,198500,81382,,71384,
Someren,2018,244000,220800,34184,116880,61423,49937
Son en Breugel,2018,180100,154000,31484,58133,73059,70153
Stadskanaal,2018,142500,137200,62576,61438,45648,91779
Staphorst,2018,169800,99800,27248,36245,35670,41531
Stede Broec,2018,90000,90000,32924,37839,34216,48773
Steenbergen,2018,557400,522600,40173,361721,87245,62743
Steenwijkerland,2018,249900,221200,78640,79088,73259,118560
Stein,2018,,,46188,43621,,71575
Stichtse Vecht,2018,472000,309900,105562,100178,86470,163087
Súdwest-Fryslân,2018,597100,518900,148609,211500,165277,243145
Terneuzen,2018,,,92289,,364657,157428
Terschelling,2018,43900,43900,9375,15037,10710,24488
Texel,2018,111500,111500,24847,,31522,64781
Teylingen,2018,179100,156500,54408,60783,65965,92616
Tholen,2018,190200,187000,38051,64728,39837,58651
Tiel,2018,317200,259500,63154,106554,100107,136899
Tilburg,2018,1225200,1100700,302695,349091,492310,577284
Tubbergen,2018,121000,121000,41501,43989,37049,59638
Twenterand,2018,172300,162700,56911,65554,64967,83263
Tynaarlo,2018,183400,151500,63745,64499,48213,95609
Tytsjerksteradiel,2018,234700,225900,53406,,96673,76079
Uden,2018,275300,249800,70373,88639,112257,129755
Uitgeest,2018,77400,51800,19751,16480,17970,32064
Uithoorn,2018,,,44456,,69274,77457
Urk,2018,92100,92100,25690,27058,47223,55371
Utrecht,2018,1653500,1369300,417262,386179,608387,927514
Utrechtse Heuvelrug,2018,326800,221900,91993,90457,74475,156368
Vaals,2018,42600,42600,20170,20085,13250,31980
Valkenburg aan de Geul,2018,97400,82700,32639,37784,27498,62914
Valkenswaard,2018,156100,147300,55678,56651,55862,85663
Veendam,2018,,,52303,,110110,78431
Veenendaal,2018,279100,267500,91953,100113,117466,166652
Veere,2018,123700,120500,39883,47751,37949,77099
Veldhoven,2018,294500,271700,74604,84474,150421,121456
Velsen,2018,,,102278,,1405485,
Venlo,2018,956300,822100,171347,374330,337755,368211
Venray,2018,399200,355700,76130,142903,138837,135005
Vijfheerenlanden,2018,602100,398500,83280,,141586,
Vlaardingen,2018,282900,259000,103804,116878,90353,174025
Vlieland,2018,11000,11000,2030,4597,3944,8231
Vlissingen,2018,538000,527600,66408,,123795,127314
Voerendaal,2018,59600,45900,24503,20331,14006,31615
Voorschoten,2018,75400,75400,40450,35233,25821,58493
Voorst,2018,183800,132500,44436,49937,40221,73192
Vught,2018,179300,145500,54513,57432,44761,94371
Waadhoeke,2018,375900,344500,78249,204318,80598,108534
Waalre,2018,87300,67500,33412,,18926,
Waalwijk,2018,374800,306400,78383,113574,154429,174454
Waddinxveen,2018,279700,217900,39536,107132,81955,75616
Wageningen,2018,156100,156100,52387,60980,63589,107816
Wassenaar,2018,162300,156500,58886,62504,44213,103041
Waterland,2018,91600,91600,28402,,19208,
Weert,2018,394800,324300,86555,,138205,157487
Weesp,2018,110800,110800,27551,41639,50338,50905
West Betuwe,2018,721300,483900,85567,,126177,150266
West Maas en Waal,2018,125900,123400,34118,32639,29203,51485
Westerkwartier,2018,522800,440200,113781,128290,204969,157821
Westerveld,2018,126900,112100,38248,43918,29772,64131
Westervoort,2018,,,22055,10807,12610,
Westerwolde,2018,,,54756,,56520,77212
Westland,2018,2558900,2548900,151818,1796521,615379,
Weststellingwerf,2018,170800,140700,46351,50972,48360,71494
Westvoorne,2018,173200,173200,28920,122806,34601,41540
Wierden,2018,164400,130500,41876,48116,38306,60937
Wijchen,2018,247900,203700,65294,89815,73040,101528
Wijdemeren,2018,105500,105500,45418,43221,31361,68236
Wijk bij Duurstede,2018,91000,91000,37246,30565,27857,52458
Winterswijk,2018,154900,154900,49716,62878,52682,84713
Woensdrecht,2018,192500,144900,39703,,57126,70643
Woerden,2018,443600,286500,76510,140691,87199,140043
Wormerland,2018,140200,102000,24036,38994,45860,33625
Woudenberg,2018,76400,61600,19670,18131,18870,32174
