Jaar,Gemeenten,Woningdichtheid
2019,Harlingen,306.0
2017,Hattem,228.0
2018,Hattem,229.0
2019,Hattem,229.0
2017,Heemskerk,643.0
2018,Heemskerk,638.0
2019,Heemskerk,640.0
2017,Heemstede,1363.0
2018,Heemstede,1369.0
2019,Heemstede,1372.0
2017,Heerde,99.0
2018,Heerde,99.0
2019,Heerde,100.0
2017,Heerenveen,122.0
2018,Heerenveen,123.0
2019,Heerenveen,124.0
2017,Heerhugowaard,594.0
2018,Heerhugowaard,608.0
2019,Heerhugowaard,613.0
2017,Heerlen,1014.0
2018,Heerlen,1018.0
2019,Heerlen,1020.0
2017,Heeze-Leende,64.0
2018,Heeze-Leende,65.0
2019,Heeze-Leende,66.0
2017,Heiloo,554.0
2018,Heiloo,563.0
2019,Heiloo,565.0
2017,Den Helder,621.0
2018,Den Helder,618.0
2019,Den Helder,620.0
2017,Hellendoorn,106.0
2018,Hellendoorn,106.0
2019,Hellendoorn,107.0
2017,Hellevoetsluis,552.0
2018,Hellevoetsluis,436.0
2019,Hellevoetsluis,436.0
2017,Helmond,743.0
2018,Helmond,748.0
2019,Helmond,758.0
2017,Hendrik-Ido-Ambacht,1116.0
2018,Hendrik-Ido-Ambacht,1144.0
2019,Hendrik-Ido-Ambacht,1151.0
2017,Hengelo (O.),623.0
2018,Hengelo (O.),627.0
2019,Hengelo (O.),631.0
2017,'s-Hertogenbosch,636.0
2018,'s-Hertogenbosch,646.0
2019,'s-Hertogenbosch,655.0
2017,Heumen,177.0
2018,Heumen,179.0
2019,Heumen,180.0
2017,Heusden,233.0
2018,Heusden,235.0
2019,Heusden,238.0
2017,Hillegom,732.0
2018,Hillegom,752.0
2019,Hillegom,759.0
2017,Hilvarenbeek,68.0
2018,Hilvarenbeek,69.0
2019,Hilvarenbeek,69.0
2017,Hilversum,913.0
2018,Hilversum,920.0
2019,Hilversum,928.0
2019,Hoeksche Waard,140.0
2017,Hof van Twente,70.0
2018,Hof van Twente,71.0
2019,Hof van Twente,71.0
2019,Het Hogeland,47.0
2017,Hollands Kroon,58.0
2018,Hollands Kroon,58.0
2019,Hollands Kroon,58.0
2017,Hoogeveen,194.0
2018,Hoogeveen,195.0
2019,Hoogeveen,197.0
2017,Hoogezand-Sappemeer,241.0
2017,Hoorn,1603.0
2018,Hoorn,1609.0
2019,Hoorn,1607.0
2017,Horst aan de Maas,93.0
2018,Horst aan de Maas,93.0
2019,Horst aan de Maas,94.0
2017,Houten,360.0
2018,Houten,365.0
2019,Houten,369.0
2017,Huizen,1184.0
2018,Huizen,1192.0
2019,Huizen,1194.0
2017,Hulst,66.0
2018,Hulst,66.0
2019,Hulst,67.0
2017,IJsselstein,679.0
2018,IJsselstein,681.0
2019,IJsselstein,682.0
2017,Kaag en Braassem,177.0
2018,Kaag en Braassem,179.0
2019,Kaag en Braassem,182.0
2017,Kampen,151.0
2018,Kampen,154.0
2019,Kampen,155.0
2017,Kapelle,142.0
2018,Kapelle,143.0
2019,Kapelle,144.0
2017,Katwijk,1067.0
2018,Katwijk,1064.0
2019,Katwijk,1080.0
2017,Kerkrade,1090.0
2018,Kerkrade,1091.0
2019,Kerkrade,1081.0
2017,Koggenland,115.0
2018,Koggenland,116.0
2019,Koggenland,117.0
2017,Kollumerland en Nieuwkruisland,50.0
2018,Kollumerland en Nieuwkruisland,50.0
2017,Korendijk,60.0
2018,Korendijk,60.0
2017,Krimpen aan den IJssel,1606.0
2018,Krimpen aan den IJssel,1620.0
2019,Krimpen aan den IJssel,1630.0
2017,Krimpenerwaard,157.0
2018,Krimpenerwaard,159.0
2019,Krimpenerwaard,160.0
2017,Laarbeek,167.0
2018,Laarbeek,168.0
2019,Laarbeek,171.0
2017,Landerd,86.0
2018,Landerd,87.0
2019,Landerd,90.0
2017,Landgraaf,734.0
2018,Landgraaf,737.0
2019,Landgraaf,738.0
2017,Landsmeer,210.0
2018,Landsmeer,215.0
2019,Landsmeer,215.0
2017,Langedijk,473.0
2018,Langedijk,480.0
2019,Langedijk,484.0
2017,Lansingerland,429.0
2018,Lansingerland,441.0
2019,Lansingerland,446.0
2017,Laren (NH.),423.0
2018,Laren (NH.),425.0
2019,Laren (NH.),425.0
2017,Leek,136.0
2018,Leek,136.0
2017,Leerdam,259.0
2018,Leerdam,263.0
2017,Leeuwarden,353.0
2018,Leeuwarden,255.0
2019,Leeuwarden,258.0
2017,Leeuwarderadeel,106.0
2017,Leiden,2617.0
2018,Leiden,2651.0
2019,Leiden,2697.0
2017,Leiderdorp,1045.0
2018,Leiderdorp,1047.0
2019,Leiderdorp,1047.0
2017,Leidschendam-Voorburg,1117.0
2018,Leidschendam-Voorburg,1121.0
2019,Leidschendam-Voorburg,1130.0
2017,Lelystad,143.0
2018,Lelystad,142.0
2019,Lelystad,143.0
2017,Leudal,97.0
2018,Leudal,97.0
2019,Leudal,97.0
2017,Leusden,213.0
2018,Leusden,216.0
2019,Leusden,220.0
2017,Lingewaal,90.0
2018,Lingewaal,91.0
2017,Lingewaard,316.0
2018,Lingewaard,317.0
2019,Lingewaard,319.0
2017,Lisse,649.0
2018,Lisse,640.0
2019,Lisse,651.0
2017,Littenseradiel,35.0
2017,Lochem,69.0
2018,Lochem,70.0
2019,Lochem,70.0
2017,Loon op Zand,203.0
2018,Loon op Zand,204.0
2019,Loon op Zand,207.0
2017,Lopik,73.0
2018,Lopik,74.0
2019,Lopik,75.0
2017,Loppersum,42.0
2018,Loppersum,42.0
2019,Loppersum,42.0
2017,Losser,97.0
2018,Losser,98.0
2019,Losser,99.0
2017,Maasdriel,147.0
2018,Maasdriel,149.0
2019,Maasdriel,150.0
2017,Maasgouw,233.0
2018,Maasgouw,234.0
2019,Maasgouw,234.0
2017,Maassluis,1760.0
2018,Maassluis,1776.0
2019,Maassluis,1785.0
2017,Maastricht,1091.0
2018,Maastricht,1107.0
2019,Maastricht,1105.0
2017,De Marne,31.0
2018,De Marne,31.0
2017,Marum,67.0
2018,Marum,68.0
2017,Medemblik,153.0
2018,Medemblik,155.0
2019,Medemblik,156.0
2017,Meerssen,319.0
2018,Meerssen,319.0
2019,Meerssen,319.0
2017,Meierijstad,180.0
2018,Meierijstad,182.0
2019,Meierijstad,185.0
2017,Menameradiel,85.0
2017,Menterwolde,67.0
2017,Meppel,277.0
2018,Meppel,281.0
2019,Meppel,282.0
2017,Middelburg (Z.),478.0
2018,Middelburg (Z.),482.0
2019,Middelburg (Z.),486.0
2017,Midden-Delfland,163.0
2018,Midden-Delfland,166.0
2019,Midden-Delfland,167.0
2017,Midden-Drenthe,42.0
2018,Midden-Drenthe,42.0
2019,Midden-Drenthe,42.0
2018,Midden-Groningen,100.0
2019,Midden-Groningen,100.0
2017,Mill en Sint Hubert,86.0
2018,Mill en Sint Hubert,87.0
2019,Mill en Sint Hubert,87.0
2017,Moerdijk,103.0
2018,Moerdijk,103.0
2019,Moerdijk,103.0
2019,Molenlanden,94.0
2017,Molenwaard,94.0
2018,Molenwaard,95.0
2017,Montferland,146.0
2018,Montferland,147.0
2019,Montferland,149.0
2017,Montfoort,151.0
2018,Montfoort,153.0
2019,Montfoort,153.0
2017,Mook en Middelaar,205.0
2018,Mook en Middelaar,208.0
2019,Mook en Middelaar,206.0
2017,Neder-Betuwe,142.0
2018,Neder-Betuwe,144.0
2019,Neder-Betuwe,146.0
2017,Nederweert,73.0
2018,Nederweert,73.0
2019,Nederweert,74.0
2017,Neerijnen,74.0
2018,Neerijnen,74.0
2017,Nieuwegein,1187.0
2018,Nieuwegein,1212.0
2019,Nieuwegein,1221.0
2017,Nieuwkoop,142.0
2018,Nieuwkoop,145.0
2019,Nieuwkoop,146.0
2017,Nijkerk,235.0
2018,Nijkerk,240.0
2019,Nijkerk,247.0
2017,Nijmegen,1459.0
2018,Nijmegen,1498.0
2019,Nijmegen,1521.0
2017,Nissewaard,471.0
2018,Nissewaard,528.0
2019,Nissewaard,531.0
2019,Noardeast-Fryslân,54.0
2017,Noord-Beveland,51.0
2018,Noord-Beveland,51.0
2019,Noord-Beveland,51.0
2017,Noordenveld,73.0
2018,Noordenveld,73.0
2019,Noordenveld,74.0
2017,Noordoostpolder,42.0
2018,Noordoostpolder,43.0
2019,Noordoostpolder,44.0
2017,Noordwijk,344.0
2018,Noordwijk,346.0
2019,Noordwijk,337.0
2017,Noordwijkerhout,317.0
2018,Noordwijkerhout,315.0
2017,"Nuenen, Gerwen en Nederwetten",298.0
2018,"Nuenen, Gerwen en Nederwetten",301.0
2019,"Nuenen, Gerwen en Nederwetten",302.0
2017,Nunspeet,81.0
2018,Nunspeet,82.0
2019,Nunspeet,84.0
2017,Nuth,210.0
2018,Nuth,210.0
2017,Oegstgeest,1433.0
2018,Oegstgeest,1434.0
2019,Oegstgeest,1463.0
2017,Oirschot,75.0
2018,Oirschot,76.0
2019,Oirschot,77.0
2017,Oisterwijk,176.0
2018,Oisterwijk,179.0
2019,Oisterwijk,181.0
2017,Oldambt,81.0
2018,Oldambt,81.0
2019,Oldambt,81.0
2017,Oldebroek,94.0
2018,Oldebroek,94.0
2019,Oldebroek,95.0
2017,Oldenzaal,664.0
2018,Oldenzaal,668.0
2019,Oldenzaal,670.0
2017,Olst-Wijhe,66.0
2018,Olst-Wijhe,67.0
2019,Olst-Wijhe,67.0
2017,Ommen,40.0
2018,Ommen,41.0
2019,Ommen,41.0
2017,Onderbanken,173.0
2018,Onderbanken,173.0
2017,Oost Gelre,116.0
2018,Oost Gelre,116.0
2019,Oost Gelre,117.0
2017,Oosterhout,342.0
2018,Oosterhout,345.0
2019,Oosterhout,351.0
2017,Ooststellingwerf,50.0
2018,Ooststellingwerf,50.0
2019,Ooststellingwerf,51.0
2017,Oostzaan,353.0
2018,Oostzaan,355.0
2019,Oostzaan,356.0
2017,Opmeer,114.0
2018,Opmeer,114.0
2019,Opmeer,115.0
2017,Opsterland,58.0
2018,Opsterland,58.0
2019,Opsterland,58.0
2017,Oss,240.0
2018,Oss,242.0
2019,Oss,245.0
2017,Oud-Beijerland,540.0
2018,Oud-Beijerland,544.0
2017,Oude IJsselstreek,126.0
2018,Oude IJsselstreek,127.0
2019,Oude IJsselstreek,128.0
2017,Ouder-Amstel,243.0
2018,Ouder-Amstel,245.0
2019,Ouder-Amstel,256.0
2017,Oudewater,111.0
2018,Oudewater,111.0
2019,Oudewater,112.0
2017,Overbetuwe,178.0
2018,Overbetuwe,178.0
2019,Overbetuwe,180.0
2017,Papendrecht,1518.0
2018,Papendrecht,1522.0
2019,Papendrecht,1528.0
2017,Peel en Maas,113.0
2018,Peel en Maas,114.0
2019,Peel en Maas,115.0
2017,Pekela,118.0
2018,Pekela,117.0
2019,Pekela,118.0
2017,Pijnacker-Nootdorp,547.0
2018,Pijnacker-Nootdorp,561.0
2019,Pijnacker-Nootdorp,570.0
2017,Purmerend,1536.0
2018,Purmerend,1544.0
2019,Purmerend,1561.0
2017,Putten,113.0
2018,Putten,113.0
2019,Putten,113.0
2017,Raalte,90.0
2018,Raalte,91.0
2019,Raalte,92.0
2017,Reimerswaal,88.0
2018,Reimerswaal,89.0
2019,Reimerswaal,90.0
2017,Renkum,319.0
2018,Renkum,321.0
2019,Renkum,324.0
2017,Renswoude,103.0
2018,Renswoude,109.0
2019,Renswoude,110.0
2017,Reusel-De Mierden,69.0
2018,Reusel-De Mierden,69.0
2019,Reusel-De Mierden,70.0
2017,Rheden,258.0
2018,Rheden,258.0
2019,Rheden,259.0
2017,Rhenen,189.0
2018,Rhenen,191.0
2019,Rhenen,193.0
2017,Ridderkerk,877.0
2018,Ridderkerk,886.0
2019,Ridderkerk,891.0
2017,Rijnwaarden,121.0
2017,Rijssen-Holten,153.0
2018,Rijssen-Holten,155.0
2019,Rijssen-Holten,157.0
2017,Rijswijk (ZH.),1848.0
2018,Rijswijk (ZH.),1879.0
2019,Rijswijk (ZH.),1910.0
2017,Roerdalen,107.0
2018,Roerdalen,107.0
2019,Roerdalen,107.0
2017,Roermond,446.0
2018,Roermond,449.0
2019,Roermond,452.0
2017,De Ronde Venen,178.0
2018,De Ronde Venen,182.0
2019,De Ronde Venen,183.0
2017,Roosendaal,328.0
2018,Roosendaal,330.0
2019,Roosendaal,330.0
2017,Rotterdam,1436.0
2018,Rotterdam,1431.0
2019,Rotterdam,1432.0
2017,Rozendaal,23.0
2018,Rozendaal,24.0
2019,Rozendaal,24.0
2017,Rucphen,149.0
2018,Rucphen,149.0
2019,Rucphen,150.0
2017,Schagen,119.0
2018,Schagen,119.0
2019,Schagen,121.0
2017,Scherpenzeel,277.0
2018,Scherpenzeel,284.0
2019,Scherpenzeel,288.0
2017,Schiedam,2042.0
2018,Schiedam,2071.0
2019,Schiedam,2071.0
2017,Schiermonnikoog,16.0
2018,Schiermonnikoog,14.0
2019,Schiermonnikoog,14.0
2017,Schinnen,247.0
2018,Schinnen,247.0
2017,Schouwen-Duiveland,73.0
2018,Schouwen-Duiveland,73.0
2019,Schouwen-Duiveland,73.0
2017,Simpelveld,324.0
2018,Simpelveld,325.0
2019,Simpelveld,332.0
2017,Sint Anthonis,48.0
2018,Sint Anthonis,48.0
2019,Sint Anthonis,48.0
2017,Sint-Michielsgestel,202.0
2018,Sint-Michielsgestel,205.0
2019,Sint-Michielsgestel,207.0
2017,Sittard-Geleen,585.0
2018,Sittard-Geleen,587.0
2019,Sittard-Geleen,588.0
2017,Sliedrecht,850.0
2018,Sliedrecht,845.0
2019,Sliedrecht,858.0
2017,Slochteren,48.0
2017,Sluis,50.0
2018,Sluis,50.0
2019,Sluis,51.0
2017,Smallingerland,216.0
2018,Smallingerland,217.0
2019,Smallingerland,219.0
2017,Soest,440.0
2018,Soest,443.0
2019,Soest,445.0
